dataset,backbone,plugin,pred_len,seed,val_order,cell_id,mse,val_mse,best_epoch,epochs_run,n_val_windows,n_test_windows,n_train_windows,n_params,loader_shuffled_val,seq_len,batch_size,plugin_kind,train_seconds,device,truncated,timestamp,winerr_dir,block_id
ETTh1,DLinear,fredf,192,2021,deterministic,DLinear_ETTh1_h192_fredf_s2021_det,0.44298760117342667,0.9548880798782187,9,10,2689,2689,8353,37248,False,96,32,loss,52.9,cuda:0,False,2026-09-16 22:24:26,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h192_fredf_s2021_det,ETTh1_h192_DLinear
ETTh1,DLinear,none,192,2021,deterministic,DLinear_ETTh1_h192_none_s2021_det,0.4460673853814371,0.9152750353855477,4,8,2689,2689,8353,37248,False,96,32,io,39.9,cuda:0,False,2026-09-16 22:24:08,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h192_none_s2021_det,ETTh1_h192_DLinear
ETTh1,DLinear,revin,192,2021,deterministic,DLinear_ETTh1_h192_revin_s2021_det,0.4485532207050252,1.0080200608421064,9,10,2689,2689,8353,37262,False,96,32,io,56.7,cuda:0,False,2026-09-16 22:24:27,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h192_revin_s2021_det,ETTh1_h192_DLinear
ETTh1,DLinear,san_lite,192,2021,deterministic,DLinear_ETTh1_h192_san_lite_s2021_det,0.4616647086783313,1.0362408586203589,9,10,2689,2689,8353,37248,False,96,32,io,57.3,cuda:0,False,2026-09-16 22:24:31,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h192_san_lite_s2021_det,ETTh1_h192_DLinear
ETTh1,DLinear,fredf,336,2021,deterministic,DLinear_ETTh1_h336_fredf_s2021_det,0.4855605890056784,1.1674402964694597,9,10,2545,2545,8209,65184,False,96,32,loss,65.7,cuda:0,False,2026-09-16 22:25:42,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h336_fredf_s2021_det,ETTh1_h336_DLinear
ETTh1,DLinear,fredf,336,2021,shuffled,DLinear_ETTh1_h336_fredf_s2021_shuf,0.48554701693653274,1.1677137836961897,9,10,2545,2545,8209,65184,True,96,32,loss,151.5,cuda:0,False,2026-09-16 23:07:40,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h336_fredf_s2021_shuf,ETTh1_h336_DLinear
ETTh1,DLinear,fredf,336,2022,deterministic,DLinear_ETTh1_h336_fredf_s2022_det,0.48551729248996384,1.166833237997664,9,10,2545,2545,8209,65184,False,96,32,loss,153.5,cuda:0,False,2026-09-16 23:07:59,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h336_fredf_s2022_det,ETTh1_h336_DLinear
ETTh1,DLinear,fredf,336,2022,shuffled,DLinear_ETTh1_h336_fredf_s2022_shuf,0.48551451183908606,1.166913526599859,9,10,2545,2545,8209,65184,True,96,32,loss,153.5,cuda:0,False,2026-09-16 23:09:53,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h336_fredf_s2022_shuf,ETTh1_h336_DLinear
ETTh1,DLinear,fredf,336,2023,deterministic,DLinear_ETTh1_h336_fredf_s2023_det,0.4855666041780477,1.1666814434017405,9,10,2545,2545,8209,65184,False,96,32,loss,152.3,cuda:0,False,2026-09-16 23:10:27,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h336_fredf_s2023_det,ETTh1_h336_DLinear
ETTh1,DLinear,fredf,336,2023,shuffled,DLinear_ETTh1_h336_fredf_s2023_shuf,0.48550810903315156,1.1672694538277,9,10,2545,2545,8209,65184,True,96,32,loss,153.2,cuda:0,False,2026-09-16 23:10:31,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h336_fredf_s2023_shuf,ETTh1_h336_DLinear
ETTh1,DLinear,none,336,2021,deterministic,DLinear_ETTh1_h336_none_s2021_det,0.48671358220504557,1.126107688200142,8,10,2545,2545,8209,65184,False,96,32,io,56.1,cuda:0,False,2026-09-16 22:25:14,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h336_none_s2021_det,ETTh1_h336_DLinear
ETTh1,DLinear,none,336,2021,shuffled,DLinear_ETTh1_h336_none_s2021_shuf,0.4885750527494888,1.1239531674961243,3,7,2545,2545,8209,65184,True,96,32,io,104.3,cuda:0,False,2026-09-16 23:01:26,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h336_none_s2021_shuf,ETTh1_h336_DLinear
ETTh1,DLinear,none,336,2022,deterministic,DLinear_ETTh1_h336_none_s2022_det,0.48789004518110657,1.1238245400421036,4,8,2545,2545,8209,65184,False,96,32,io,120.1,cuda:0,False,2026-09-16 23:01:59,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h336_none_s2022_det,ETTh1_h336_DLinear
ETTh1,DLinear,none,336,2022,shuffled,DLinear_ETTh1_h336_none_s2022_shuf,0.48723626723912183,1.1256444675580202,5,9,2545,2545,8209,65184,True,96,32,io,133.3,cuda:0,False,2026-09-16 23:02:13,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h336_none_s2022_shuf,ETTh1_h336_DLinear
ETTh1,DLinear,none,336,2023,deterministic,DLinear_ETTh1_h336_none_s2023_det,0.489417322406922,1.119438845564856,3,7,2545,2545,8209,65184,False,96,32,io,104.6,cuda:0,False,2026-09-16 23:01:54,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h336_none_s2023_det,ETTh1_h336_DLinear
ETTh1,DLinear,none,336,2023,shuffled,DLinear_ETTh1_h336_none_s2023_shuf,0.486985483005518,1.1258966891029496,6,10,2545,2545,8209,65184,True,96,32,io,149.9,cuda:0,False,2026-09-16 23:04:11,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h336_none_s2023_shuf,ETTh1_h336_DLinear
ETTh1,DLinear,revin,336,2021,deterministic,DLinear_ETTh1_h336_revin_s2021_det,0.4887380601683515,1.293736407048238,9,10,2545,2545,8209,65198,False,96,32,io,69.4,cuda:0,False,2026-09-16 22:25:45,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h336_revin_s2021_det,ETTh1_h336_DLinear
ETTh1,DLinear,revin,336,2021,shuffled,DLinear_ETTh1_h336_revin_s2021_shuf,0.48878302468304363,1.2937224166741843,9,10,2545,2545,8209,65198,True,96,32,io,161.8,cuda:0,False,2026-09-16 23:04:51,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h336_revin_s2021_shuf,ETTh1_h336_DLinear
ETTh1,DLinear,revin,336,2022,deterministic,DLinear_ETTh1_h336_revin_s2022_det,0.4889152057710363,1.2939052677991936,9,10,2545,2545,8209,65198,False,96,32,io,160.1,cuda:0,False,2026-09-16 23:04:53,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h336_revin_s2022_det,ETTh1_h336_DLinear
ETTh1,DLinear,revin,336,2022,shuffled,DLinear_ETTh1_h336_revin_s2022_shuf,0.4889695524536865,1.293863686920925,9,10,2545,2545,8209,65198,True,96,32,io,160.9,cuda:0,False,2026-09-16 23:05:10,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h336_revin_s2022_shuf,ETTh1_h336_DLinear
ETTh1,DLinear,revin,336,2023,deterministic,DLinear_ETTh1_h336_revin_s2023_det,0.48899599180367753,1.293783942735063,9,10,2545,2545,8209,65198,False,96,32,io,158.8,cuda:0,False,2026-09-16 23:07:04,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h336_revin_s2023_det,ETTh1_h336_DLinear
ETTh1,DLinear,revin,336,2023,shuffled,DLinear_ETTh1_h336_revin_s2023_shuf,0.48894692352859,1.2938868072400866,9,10,2545,2545,8209,65198,True,96,32,io,159.8,cuda:0,False,2026-09-16 23:07:45,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h336_revin_s2023_shuf,ETTh1_h336_DLinear
ETTh1,DLinear,san_lite,336,2021,deterministic,DLinear_ETTh1_h336_san_lite_s2021_det,0.5025031842074379,1.322268098284869,9,10,2545,2545,8209,65184,False,96,32,io,69.3,cuda:0,False,2026-09-16 22:25:49,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h336_san_lite_s2021_det,ETTh1_h336_DLinear
